dish,1_star,2_star,3_star,4_star,5_star,average_star
escargot,3,3,9,33,33,4.111111111111111
macncheese,0,0,1,4,0,3.8
omlet,7,7,19,32,22,3.632183908045977
truffled,4,12,28,76,102,4.171171171171171
kobe beef,10,52,121,217,253,3.996937212863706
swirl,5,4,15,23,30,3.896103896103896
riesling,2,7,26,51,50,4.029411764705882
pound cake,1,1,6,15,13,4.055555555555555
snickerdoodle,1,0,6,9,8,3.9583333333333335
shoestring,2,26,28,91,59,3.8689320388349513
teriyaki,11,21,38,74,58,3.727722772277228
sprite,10,12,6,18,15,3.262295081967213
curry,13,44,96,232,235,4.019354838709678
vinagrette,0,3,7,15,10,3.914285714285714
smore,3,9,14,46,57,4.124031007751938
soft drinks,6,6,9,17,9,3.3617021276595747
boneless,14,16,34,77,41,3.631868131868132
filtered,6,4,10,12,11,3.4186046511627906
finger food,1,4,10,23,6,3.659090909090909
seabass,9,10,16,41,34,3.7363636363636363
pistachio,3,10,40,106,150,4.262135922330097
monkfish,2,1,7,4,12,3.8846153846153846
bellini,3,5,26,59,60,4.098039215686274
havarti,0,3,11,35,20,4.043478260869565
shortrib,1,5,15,34,30,4.023529411764706
cabernet,5,12,31,55,58,3.9254658385093166
bone marrow,3,10,21,42,68,4.125
sweetbreads,2,9,18,26,59,4.149122807017544
marrow,3,14,26,54,82,4.106145251396648
lox,2,14,17,49,37,3.8823529411764706
fois,2,7,13,35,42,4.090909090909091
fondant,1,1,2,3,7,4.0
eclair,2,1,5,6,9,3.8260869565217392
panna cotta,1,8,14,34,64,4.256198347107438
panna,1,8,15,38,73,4.288888888888889
nuggets,10,18,23,39,47,3.6934306569343067
grouper,0,3,10,21,21,4.090909090909091
brocolli,3,3,2,10,9,3.7037037037037037
venison,2,9,14,18,37,3.9875
corn dog,5,13,19,48,45,3.8846153846153846
overeasy,1,0,0,0,2,3.6666666666666665
bk,5,2,7,18,12,3.6818181818181817
sundaes,2,1,0,6,7,3.9375
sicilian,3,1,8,25,19,4.0
chesse,2,1,4,12,14,4.0606060606060606
shiitake,1,2,16,27,40,4.1976744186046515
avacado,2,3,13,34,28,4.0375
stir fry,1,6,7,14,11,3.717948717948718
brown rice,7,10,25,77,44,3.8650306748466257
dispenser,2,7,5,15,7,3.5
mongolian,2,1,6,18,10,3.891891891891892
finely,3,7,5,17,21,3.8679245283018866
shank,5,11,11,43,50,4.016666666666667
gardenburger,0,0,2,0,3,4.2
fried fish,1,6,5,15,11,3.763157894736842
icee,0,0,3,5,2,3.9
hotdog,5,11,10,31,36,3.881720430107527
sodas,26,15,25,52,40,3.411392405063291
applesauce,0,2,5,10,7,3.9166666666666665
tap water,22,10,12,15,6,2.5846153846153848
aloo,10,19,26,50,33,3.5579710144927534
frog,3,3,14,18,39,4.12987012987013
white bread,4,14,14,11,9,3.1346153846153846
ruben,6,9,14,32,38,3.878787878787879
florets,0,4,2,1,0,2.5714285714285716
granola,2,9,33,60,56,3.99375
bottled,17,26,43,76,50,3.547169811320755
chocolate syrup,0,6,12,10,7,3.5142857142857142
cubed,3,7,15,23,9,3.491228070175439
meatless,3,7,8,20,12,3.62
lentils,3,10,17,34,39,3.9320388349514563
portabello,4,11,15,41,28,3.787878787878788
amuse bouche,7,30,25,87,158,4.169381107491857
bouche,7,36,31,111,202,4.2015503875969
voss,0,0,0,6,7,4.538461538461538
ice cream sandwich,3,5,7,30,35,4.1125
sherbet,0,0,1,3,6,4.5
machaca,0,0,4,3,3,3.9
marshmellow,1,3,2,9,14,4.103448275862069
wagyu,10,29,73,164,306,4.24914089347079
gelee,0,1,6,5,31,4.534883720930233
soda fountain,1,4,3,9,8,3.76
milkshake,13,41,89,172,138,3.8410596026490067
schnitzel,1,9,9,26,10,3.6363636363636362
corndog,0,2,2,12,7,4.043478260869565
corndogs,0,0,1,12,4,4.176470588235294
tataki,0,2,1,8,7,4.111111111111111
monte cristo,1,9,4,14,12,3.675
passionfruit,0,3,8,15,16,4.0476190476190474
bok,2,12,10,37,31,3.902173913043478
brocoli,2,3,2,6,5,3.5
rock candy,0,1,3,5,12,4.333333333333333
deep dish pizzas,1,0,2,11,3,3.8823529411764706
calzones,0,0,5,8,4,3.9411764705882355
beignet,4,20,50,115,77,3.906015037593985
lager,2,9,29,52,28,3.7916666666666665
hoppy,0,10,17,38,28,3.903225806451613
mocha,3,16,23,54,86,4.1208791208791204
blueberries,7,20,17,56,71,3.9590643274853803
homefries,0,0,7,5,4,3.8125
